person_id;household_id;iris_id;commune_id;departement_id;age;sex;couple;commute_mode;employed;studies;number_of_vehicles;household_size;work_outside_region;education_outside_region;consumption_units;socioprofessional_class;census_person_id;census_household_id
1274;568;undefined;undefined;44;53;male;True;car;True;False;2;2;False;False;1.5;6;283;124
1275;568;undefined;undefined;44;52;female;True;car;True;False;2;2;False;False;1.5;5;284;124
4479;1918;undefined;undefined;44;66;female;True;;False;False;1;2;False;False;1.5;7;982;418
4480;1918;undefined;undefined;44;66;male;True;;False;False;1;2;False;False;1.5;7;983;418
6174;2584;440030103;44003;44;56;female;True;car;True;False;2;2;False;False;1.5;5;1363;567
6175;2584;440030103;44003;44;64;male;True;;False;False;2;2;False;False;1.5;7;1364;567
7296;3057;undefined;undefined;44;17;male;False;;False;True;2;4;False;False;2.3;8;1622;675
7297;3057;undefined;undefined;44;50;male;True;car;True;False;2;4;False;False;2.3;3;1620;675
7298;3057;undefined;undefined;44;48;female;True;car;True;False;2;4;False;False;2.3;6;1621;675
7299;3057;undefined;undefined;44;12;male;False;;False;True;2;4;False;False;2.3;8;1623;675
11417;4685;undefined;undefined;44;97;female;False;;False;False;0;1;False;False;1.0;7;2528;1033
14310;5927;440030103;44003;44;53;female;False;car;True;False;1;1;False;False;1.0;5;3159;1303
17474;7200;undefined;undefined;44;77;female;True;;False;False;1;2;False;False;1.5;7;3845;1580
17475;7200;undefined;undefined;44;78;male;True;;False;False;1;2;False;False;1.5;7;3846;1580
28750;11853;440030103;44003;44;50;male;False;car;True;False;1;2;False;False;1.5;6;6284;2590
28751;11853;440030103;44003;44;45;male;False;car;True;False;1;2;False;False;1.5;6;6285;2590
31913;13150;undefined;undefined;44;11;female;False;;False;True;2;5;False;False;2.4;8;6981;2873
31914;13150;undefined;undefined;44;40;male;True;car;True;False;2;5;False;False;2.4;4;6982;2873
31915;13150;undefined;undefined;44;40;female;True;car;True;False;2;5;False;False;2.4;5;6983;2873
31916;13150;undefined;undefined;44;13;female;False;;False;True;2;5;False;False;2.4;8;6984;2873
31917;13150;undefined;undefined;44;9;male;False;;False;True;2;5;False;False;2.4;8;6985;2873
32285;13297;undefined;undefined;44;36;female;True;car;True;False;2;4;False;False;2.1;5;7060;2904
32286;13297;undefined;undefined;44;38;male;True;car;True;False;2;4;False;False;2.1;6;7061;2904
32287;13297;undefined;undefined;44;9;female;False;;False;True;2;4;False;False;2.1;8;7058;2904
32288;13297;undefined;undefined;44;3;male;False;;False;False;2;4;False;False;2.1;8;7059;2904
32708;13466;undefined;undefined;44;59;female;False;;False;False;2;5;False;False;2.8;8;7153;2941
32709;13466;undefined;undefined;44;26;male;True;;False;False;2;5;False;False;2.8;6;7154;2941
32710;13466;undefined;undefined;44;2;male;False;;False;False;2;5;False;False;2.8;8;7151;2941
32711;13466;undefined;undefined;44;17;male;False;;False;False;2;5;False;False;2.8;8;7152;2941
32712;13466;undefined;undefined;44;20;female;True;;False;False;2;5;False;False;2.8;8;7155;2941
34914;14390;undefined;undefined;44;58;male;False;car;True;False;1;1;False;False;1.0;4;7632;3142
37305;15383;undefined;undefined;44;47;female;True;car;True;False;1;4;False;False;2.3;4;8162;3360
37306;15383;undefined;undefined;44;12;female;False;;False;True;1;4;False;False;2.3;8;8159;3360
37307;15383;undefined;undefined;44;48;male;True;;False;False;1;4;False;False;2.3;3;8160;3360
37308;15383;undefined;undefined;44;15;male;False;;False;True;1;4;False;False;2.3;8;8161;3360
38282;15794;undefined;undefined;44;6;male;False;;False;True;2;4;False;False;2.1;8;8376;3450
38283;15794;undefined;undefined;44;33;female;True;car;True;False;2;4;False;False;2.1;4;8377;3450
38284;15794;undefined;undefined;44;33;male;True;car;True;False;2;4;False;False;2.1;6;8374;3450
38285;15794;undefined;undefined;44;2;female;False;;False;False;2;4;False;False;2.1;8;8375;3450
43431;18030;440550103;44055;44;27;male;False;car;True;False;2;1;False;False;1.0;6;9708;3984
45591;19143;440550101;44055;44;72;male;False;;False;False;1;1;False;False;1.0;7;10433;4346
48514;20641;undefined;undefined;44;49;female;True;car;True;False;3;3;False;False;2.0;4;11430;4857
